"","distance1","mean1","distance2","mean2","size","pvalue","sign"
"1","cosine","0.73","tanimoto","0.71","1000",0.41,FALSE
"2","cosine","0.73","labbe","0.81","1000",0.12,FALSE
"3","tanimoto","0.71","labbe","0.81","1000",0.02,TRUE
"4","cosine","0.84","tanimoto","0.88","1500",0.31,FALSE
"5","cosine","0.84","labbe","0.87","1500",0.47,FALSE
"6","tanimoto","0.88","labbe","0.87","1500",0.16,FALSE
"7","cosine","0.9","tanimoto","0.9","2000",0.32,FALSE
"8","cosine","0.9","labbe","0.91","2000",0.73,FALSE
"9","tanimoto","0.9","labbe","0.91","2000",0.43,FALSE
"10","cosine","0.92","tanimoto","0.91","2500",0.05,FALSE
"11","cosine","0.92","labbe","0.92","2500",0.97,FALSE
"12","tanimoto","0.91","labbe","0.92","2500",0.32,FALSE
"13","cosine","0.93","tanimoto","0.92","3000",0.03,TRUE
"14","cosine","0.93","labbe","0.94","3000",0.44,FALSE
"15","tanimoto","0.92","labbe","0.94","3000",0.02,TRUE
"16","cosine","0.94","tanimoto","0.92","3500",0,TRUE
"17","cosine","0.94","labbe","0.93","3500",0.47,FALSE
"18","tanimoto","0.92","labbe","0.93","3500",0.02,TRUE
"19","cosine","0.94","tanimoto","0.93","4000",0,TRUE
"20","cosine","0.94","labbe","0.93","4000",0.47,FALSE
"21","tanimoto","0.93","labbe","0.93","4000",0.13,FALSE
"22","cosine","0.95","tanimoto","0.93","4500",0,TRUE
"23","cosine","0.95","labbe","0.93","4500",0.01,TRUE
"24","tanimoto","0.93","labbe","0.93","4500",0.62,FALSE
"25","cosine","0.95","tanimoto","0.91","5000",0,TRUE
"26","cosine","0.95","labbe","0.94","5000",0.05,FALSE
"27","tanimoto","0.91","labbe","0.94","5000",0,TRUE
"28","cosine","0.95","tanimoto","0.93","5500",0,TRUE
"29","cosine","0.95","labbe","0.94","5500",0,TRUE
"30","tanimoto","0.93","labbe","0.94","5500",0,TRUE
"31","cosine","0.95","tanimoto","0.92","6000",0,TRUE
"32","cosine","0.95","labbe","0.94","6000",0.01,TRUE
"33","tanimoto","0.92","labbe","0.94","6000",0,TRUE
"34","cosine","0.95","tanimoto","0.93","6500",0,TRUE
"35","cosine","0.95","labbe","0.94","6500",0,TRUE
"36","tanimoto","0.93","labbe","0.94","6500",0.01,TRUE
"37","cosine","0.95","tanimoto","0.93","7000",0,TRUE
"38","cosine","0.95","labbe","0.94","7000",0.01,TRUE
"39","tanimoto","0.93","labbe","0.94","7000",0,TRUE
